doctor_id,specialization,experience_years,performance_rating
D13269,Orthopedics,33,3.3
D13270,Orthopedics,6,3.74
D13271,Emergency,29,4.77
D13272,Orthopedics,16,1.98
D13273,Gastroenterology,36,4.68
D13274,Gastroenterology,5,3.81
D13275,Oncology,37,1.84
D13276,Emergency,9,4.63
D13277,Urology,32,2.76
D13278,Cardiology,37,1.83
D13279,Urology,34,2.07
D13280,Neurology,39,3.91
D13281,Gastroenterology,40,4.77
D13282,Pediatrics,29,1.95
D13283,Pediatrics,31,4.67
D13284,Gastroenterology,3,1.26
D13285,Neurology,25,1.5
D13286,Pediatrics,36,2.45
D13287,Orthopedics,13,3.35
D13288,Gastroenterology,39,3.29
D13289,Pediatrics,19,1.18
D13290,Gastroenterology,16,1.14
D13291,Oncology,30,3.64
D13292,Cardiology,39,2.78
D13293,Cardiology,35,2.92
D13294,Urology,2,1.12
D13295,Neurology,1,4.99
D13296,Gastroenterology,3,3.36
D13297,Emergency,26,4.66
D13298,Urology,28,2.46
D13299,Urology,27,3.24
D13300,Gastroenterology,14,2.7
D13301,Gastroenterology,24,1.48
D13302,Urology,35,2.74
D13303,Urology,34,1.94
D13304,Cardiology,24,2.05
D13305,Emergency,6,4.01
D13306,Orthopedics,31,2.37
D13307,Urology,29,3.97
D13308,Orthopedics,36,4.93
D13309,Cardiology,29,2.3
D13310,Urology,13,1.94
D13311,Pediatrics,8,4.01
D13312,Urology,15,3.3
D13313,Gastroenterology,33,4.18
D13314,Neurology,25,1.63
D13315,Neurology,16,3.62
D13316,Urology,21,3.88
D13317,Oncology,37,1.54
D13318,Pediatrics,17,1.62
D13319,Emergency,34,4.76
D13320,Urology,13,1.76
D13321,Orthopedics,34,3.75
D13322,Emergency,15,3.17
D13323,Pediatrics,22,4.31
D13324,Urology,4,1.2
D13325,Oncology,39,1.06
D13326,Cardiology,23,4
D13327,Oncology,13,4.51
D13328,Gastroenterology,8,3.53
D13329,Oncology,1,2.53
D13330,Orthopedics,17,2.77
D13331,Cardiology,17,4.11
D13332,Gastroenterology,8,3.06
D13333,Cardiology,3,3.75
D13334,Neurology,29,4.79
D13335,Cardiology,22,2.1
D13336,Urology,2,1.62
D13337,Emergency,2,4.4
D13338,Neurology,17,3.78
D13339,Neurology,9,2.93
D13340,Emergency,33,3.27
D13341,Orthopedics,29,4.64
D13342,Neurology,29,4.83
D13343,Cardiology,6,1.05
D13344,Oncology,6,3.9
D13345,Pediatrics,37,4.9
D13346,Orthopedics,1,1.75
D13347,Cardiology,16,1.72
D13348,Gastroenterology,11,1.5
D13349,Gastroenterology,22,2.7
D13350,Oncology,34,4.12
D13351,Orthopedics,1,3.16
D13352,Orthopedics,13,2.55
D13353,Oncology,28,3.29
D13354,Orthopedics,13,2.4
D13355,Neurology,38,3.03
D13356,Urology,30,2.88
D13357,Urology,36,4.66
D13358,Orthopedics,4,3.13
D13359,Neurology,14,3.64
D13360,Neurology,36,2.19
D13361,Emergency,23,2.45
D13362,Emergency,5,4.91
D13363,Pediatrics,15,3.44
D13364,Pediatrics,23,2.2
D13365,Pediatrics,8,1.28
D13366,Pediatrics,11,3.43
D13367,Oncology,7,1.33
D13368,Oncology,23,1.65
D13369,Emergency,27,1.86
D13370,Urology,31,3.56
D13371,Neurology,40,2.61
D13372,Gastroenterology,2,3.92
D13373,Urology,31,1.88
D13374,Cardiology,8,4.54
D13375,Oncology,1,1.85
D13376,Pediatrics,25,1.13
D13377,Pediatrics,17,2.81
D13378,Cardiology,30,1.5
D13379,Urology,24,2.7
D13380,Pediatrics,31,4.88
D13381,Urology,13,4.2
D13382,Neurology,15,2.84
D13383,Cardiology,26,3.91
D13384,Gastroenterology,32,2.7
D13385,Urology,35,1
D13386,Neurology,16,4.2
D13387,Orthopedics,9,4.05
D13388,Orthopedics,19,4.67
D13389,Urology,40,1.46
D13390,Orthopedics,40,4.25
D13391,Urology,3,4.24
D13392,Pediatrics,26,2.45
D13393,Emergency,37,2.61
D13394,Orthopedics,8,2.68
D13395,Oncology,6,2.42
D13396,Urology,5,3.33
D13397,Urology,21,3.06
D13398,Urology,27,3.3
D13399,Emergency,38,3.4
D13400,Neurology,8,3.78
D13401,Orthopedics,22,2.18
D13402,Gastroenterology,23,1.76
D13403,Gastroenterology,25,3.12
D13404,Cardiology,7,2.73
D13405,Pediatrics,14,3.85
D13406,Emergency,29,3.28
D13407,Neurology,17,3.77
D13408,Urology,6,1.78
D13409,Neurology,32,4.96
D13410,Emergency,19,1.92
D13411,Emergency,27,2.59
D13412,Emergency,30,3.88
D13413,Cardiology,33,1.1
D13414,Oncology,37,4.31
D13415,Pediatrics,11,3.32
D13416,Cardiology,10,4.52
D13417,Cardiology,29,3.17
D13418,Orthopedics,22,1.11
D13419,Oncology,20,2.97
D13420,Cardiology,19,4.59
D13421,Emergency,24,2.03
D13422,Emergency,28,2.28
D13423,Orthopedics,2,1.13
D13424,Neurology,40,4.4
D13425,Urology,18,4.47
D13426,Cardiology,18,1.65
D13427,Urology,2,1.85
D13428,Pediatrics,23,3.13
D13429,Gastroenterology,15,1.86
D13430,Emergency,25,1.85
D13431,Neurology,18,2.61
D13432,Pediatrics,21,3.26
D13433,Orthopedics,32,1.11
D13434,Neurology,19,4.51
D13435,Gastroenterology,18,3.89
D13436,Gastroenterology,24,1.35
D13437,Orthopedics,30,3.3
D13438,Oncology,29,1.53
D13439,Orthopedics,21,3.74
D13440,Emergency,21,1.78
D13441,Pediatrics,2,1.94
D13442,Oncology,1,4.37
D13443,Gastroenterology,22,2.24
D13444,Pediatrics,40,4.34
D13445,Neurology,38,4.03
D13446,Oncology,19,2.28
D13447,Oncology,19,3.76
D13448,Emergency,2,1.03
D13449,Orthopedics,29,3.29
D13450,Urology,23,4.31
D13451,Neurology,27,4.38
D13452,Neurology,23,3.48
D13453,Orthopedics,28,2.41
D13454,Oncology,28,4.89
D13455,Oncology,5,4.96
D13456,Emergency,18,1.1
D13457,Urology,30,1.64
D13458,Neurology,24,4.9
D13459,Gastroenterology,37,4.97
D13460,Cardiology,16,4.78
D13461,Cardiology,29,1.31
D13462,Urology,30,3.62
D13463,Pediatrics,25,1.26
D13464,Emergency,38,2.89
D13465,Urology,39,4.91
D13466,Orthopedics,1,4.47
D13467,Orthopedics,40,1.51
D13468,Cardiology,39,3.17
D13469,Oncology,39,1.57
D13470,Cardiology,31,1.6
D13471,Oncology,39,1.5
D13472,Emergency,31,1.39
D13473,Oncology,33,1.82
D13474,Urology,12,4.67
D13475,Oncology,25,2.43
D13476,Pediatrics,23,4.41
D13477,Orthopedics,28,1.15
D13478,Urology,33,3.35
D13479,Orthopedics,38,3.32
D13480,Emergency,26,4.68
D13481,Urology,24,1.55
D13482,Pediatrics,5,4.03
D13483,Emergency,17,4.16
D13484,Cardiology,37,3.1
D13485,Pediatrics,15,1.9
D13486,Emergency,2,2.37
D13487,Gastroenterology,34,3.14
D13488,Oncology,20,2.97
D13489,Urology,30,3.8
D13490,Emergency,16,2.02
D13491,Urology,4,2.19
D13492,Oncology,31,4.62
D13493,Emergency,26,3.97
D13494,Cardiology,12,2.42
D13495,Gastroenterology,2,3.88
D13496,Gastroenterology,8,1.1
D13497,Pediatrics,14,2.42
D13498,Emergency,24,1.57
D13499,Oncology,40,2.16
D13500,Emergency,25,3.26
D13501,Urology,7,3.58
D13502,Neurology,32,4.86
D13503,Orthopedics,23,3.44
D13504,Emergency,39,2.18
D13505,Gastroenterology,26,4.14
D13506,Gastroenterology,7,2.55
D13507,Orthopedics,4,1.48
D13508,Gastroenterology,25,3.43
D13509,Cardiology,18,3.18
D13510,Emergency,7,1.12
D13511,Pediatrics,22,1.77
D13512,Emergency,4,1.57
D13513,Neurology,29,2.74
D13514,Gastroenterology,24,4.98
D13515,Urology,40,4.02
D13516,Gastroenterology,38,2.24
D13517,Emergency,12,4.8
D13518,Cardiology,9,3.13
D13519,Oncology,15,4.37
D13520,Emergency,13,4.94
D13521,Emergency,30,4.24
D13522,Pediatrics,35,4.31
D13523,Cardiology,35,4.8
D13524,Neurology,26,1.86
D13525,Oncology,19,4.4
D13526,Gastroenterology,21,1.69
D13527,Urology,21,3.22
D13528,Emergency,13,1.43
D13529,Neurology,21,2.34
D13530,Oncology,24,1.59
D13531,Urology,26,4.33
D13532,Neurology,31,3.44
D13533,Cardiology,30,1.79
D13534,Cardiology,24,4.42
D13535,Oncology,32,3.57
D13536,Gastroenterology,30,1.31
D13537,Orthopedics,26,2.27
D13538,Urology,38,1.53
D13539,Cardiology,18,1.37
D13540,Orthopedics,12,3.72
D13541,Oncology,21,1.52
D13542,Cardiology,23,1.59
D13543,Cardiology,28,4.12
D13544,Neurology,17,4.69
D13545,Orthopedics,15,2.05
D13546,Neurology,23,4.79
D13547,Cardiology,34,2.12
D13548,Orthopedics,28,2.46
D13549,Pediatrics,4,3.6
D13550,Orthopedics,12,3.96
D13551,Neurology,2,4.95
D13552,Urology,25,4.08
D13553,Oncology,24,2.76
D13554,Oncology,31,1.43
D13555,Gastroenterology,4,3.5
D13556,Urology,34,4.37
D13557,Urology,6,4.33
D13558,Urology,31,3.87
D13559,Gastroenterology,39,4.03
D13560,Urology,24,1.52
D13561,Emergency,25,1.5
D13562,Gastroenterology,5,3.31
D13563,Oncology,10,1.25
D13564,Emergency,18,1.73
D13565,Gastroenterology,29,3.93
D13566,Cardiology,11,1.1
D13567,Cardiology,30,1.65
D13568,Oncology,5,4.17
D13569,Cardiology,6,4.7
D13570,Urology,14,2
D13571,Gastroenterology,16,3.03
D13572,Emergency,14,4.54
D13573,Urology,33,4.22
D13574,Cardiology,37,4.42
D13575,Neurology,5,2.29
D13576,Orthopedics,40,2.17
D13577,Emergency,14,3.89
D13578,Urology,40,3.08
D13579,Gastroenterology,9,4.48
D13580,Oncology,27,3.97
D13581,Urology,3,2.4
D13582,Neurology,10,4.3
D13583,Cardiology,11,4.69
D13584,Emergency,34,1.47
D13585,Oncology,1,3.15
D13586,Emergency,10,3.28
D13587,Oncology,6,1.24
D13588,Orthopedics,8,1.06
D13589,Gastroenterology,31,1.72
D13590,Emergency,6,4.34
D13591,Cardiology,31,3.56
D13592,Gastroenterology,34,1.72
D13593,Gastroenterology,40,3.43
D13594,Orthopedics,29,3.51
D13595,Oncology,3,2.87
D13596,Pediatrics,22,3.1
D13597,Emergency,12,3.77
D13598,Emergency,38,4.6
D13599,Urology,19,4.43
D13600,Oncology,7,3.83
D13601,Neurology,23,4.42
D13602,Pediatrics,13,3.51
D13603,Cardiology,4,4
D13604,Urology,21,4.53
D13605,Orthopedics,14,4.52
D13606,Pediatrics,36,4.25
D13607,Oncology,7,3.19
D13608,Pediatrics,13,1.76
D13609,Orthopedics,35,4.36
D13610,Gastroenterology,33,4.03
D13611,Emergency,11,4.09
D13612,Gastroenterology,39,1.5
D13613,Emergency,25,4.43
D13614,Urology,39,4.19
D13615,Orthopedics,24,2.59
D13616,Oncology,22,2.92
D13617,Oncology,22,4.82
D13618,Pediatrics,15,1.18
D13619,Urology,18,1.53
D13620,Oncology,32,4.27
D13621,Neurology,36,3.45
D13622,Neurology,10,1.22
D13623,Gastroenterology,9,3.8
D13624,Emergency,25,2.55
D13625,Pediatrics,4,2.83
D13626,Cardiology,38,1.9
D13627,Orthopedics,36,1.7
D13628,Emergency,37,2.71
D13629,Urology,39,3.34
D13630,Oncology,7,1.86
D13631,Emergency,26,2.82
D13632,Cardiology,20,3.35
D13633,Cardiology,21,2.93
D13634,Neurology,5,2.87
D13635,Urology,30,2.15
D13636,Emergency,38,1.45
D13637,Pediatrics,36,4.8
D13638,Emergency,38,4.61
D13639,Neurology,23,4.72
D13640,Gastroenterology,23,3.19
D13641,Cardiology,6,2.04
D13642,Urology,23,2.32
D13643,Urology,15,3.4
D13644,Pediatrics,1,3.86
D13645,Urology,36,3.58
D13646,Neurology,39,1.71
D13647,Neurology,28,4.56
D13648,Neurology,10,3.46
D13649,Urology,33,4.46
D13650,Urology,24,3.47
D13651,Neurology,6,2.62
D13652,Urology,14,1.34
D13653,Orthopedics,32,2.21
D13654,Urology,19,1.76
D13655,Orthopedics,6,4.85
D13656,Cardiology,20,2.6
D13657,Emergency,25,4.62
D13658,Oncology,20,2.32
D13659,Orthopedics,38,1.5
D13660,Orthopedics,11,4.24
D13661,Urology,32,2.88
D13662,Oncology,29,4.4
D13663,Gastroenterology,30,3.27
D13664,Oncology,29,1.4
D13665,Cardiology,22,1.13
D13666,Orthopedics,11,1.64
D13667,Urology,20,2.28
D13668,Neurology,14,2.64
D13669,Oncology,27,4.46
D13670,Urology,38,4.52
D13671,Pediatrics,4,2.83
D13672,Gastroenterology,7,3.62
D13673,Neurology,30,1.52
D13674,Pediatrics,10,4.81
D13675,Pediatrics,7,2.35
D13676,Oncology,5,3.59
D13677,Pediatrics,4,3.21
D13678,Cardiology,36,4.07
D13679,Cardiology,15,4.97
D13680,Oncology,39,2.74
D13681,Urology,38,2.19
D13682,Emergency,36,1.4
D13683,Urology,2,4.17
D13684,Urology,15,2.25
D13685,Urology,20,2.78
D13686,Urology,34,4.83
D13687,Neurology,13,4.79
D13688,Emergency,25,3.78
D13689,Neurology,14,1.41
D13690,Pediatrics,9,2.79
D13691,Gastroenterology,35,4.63
D13692,Urology,22,3.02
D13693,Gastroenterology,5,4.94
D13694,Cardiology,37,1.76
D13695,Oncology,14,3.39
D13696,Oncology,17,1.76
D13697,Neurology,5,4.18
D13698,Neurology,13,4.67
D13699,Cardiology,31,1.25
D13700,Urology,10,2.71
D13701,Gastroenterology,23,1.15
D13702,Orthopedics,29,1.28
D13703,Gastroenterology,16,2.47
D13704,Emergency,17,3.33
D13705,Pediatrics,7,4.41
D13706,Oncology,14,4.79
D13707,Pediatrics,9,2.07
D13708,Emergency,7,1.9
D13709,Neurology,14,1.63
D13710,Gastroenterology,16,1.08
D13711,Oncology,10,3.14
D13712,Pediatrics,5,3.13
D13713,Orthopedics,7,1.34
D13714,Neurology,22,1.07
D13715,Emergency,24,2.53
D13716,Orthopedics,40,1.32
D13717,Pediatrics,22,1.23
D13718,Orthopedics,35,2.98
D13719,Gastroenterology,3,4.25
D13720,Urology,7,3.68
D13721,Orthopedics,19,1.61
D13722,Neurology,8,3.64
D13723,Emergency,23,2.4
D13724,Pediatrics,20,1.34
D13725,Gastroenterology,33,2.48
D13726,Urology,6,4.46
D13727,Urology,15,1.82
D13728,Emergency,5,2.97
D13729,Cardiology,14,2.4
D13730,Gastroenterology,9,4.2
D13731,Gastroenterology,26,3.4
D13732,Oncology,32,2.64
D13733,Emergency,31,2.74
D13734,Urology,6,4.61
D13735,Urology,1,2.01
D13736,Orthopedics,19,1.33
D13737,Emergency,15,4.41
D13738,Cardiology,34,2.91
D13739,Oncology,19,1.19
D13740,Pediatrics,11,4.62
D13741,Emergency,18,3.51
D13742,Oncology,24,2.01
D13743,Gastroenterology,9,3.79
D13744,Oncology,11,2.07
D13745,Orthopedics,4,2.56
D13746,Neurology,18,2.41
D13747,Urology,23,3.98
D13748,Orthopedics,37,1.43
D13749,Pediatrics,1,2.13
D13750,Emergency,25,4.6
D13751,Orthopedics,9,4.54
D13752,Urology,39,4.88
D13753,Neurology,1,1.11
D13754,Orthopedics,17,1.46
D13755,Neurology,3,4.87
D13756,Orthopedics,23,2.16
D13757,Urology,1,3.91
D13758,Cardiology,24,4.79
D13759,Oncology,13,4.32
D13760,Emergency,20,2.54
D13761,Emergency,20,3.47
D13762,Emergency,12,2.69
D13763,Urology,17,2.24
D13764,Gastroenterology,21,3.97
D13765,Cardiology,40,4.92
D13766,Pediatrics,24,2.81
D13767,Neurology,30,3.21
D13768,Urology,23,2.74
D13769,Gastroenterology,23,4.9
D13770,Pediatrics,17,3.9
D13771,Neurology,2,3.01
D13772,Neurology,24,4.04
D13773,Cardiology,33,1.59
D13774,Oncology,15,1.13
D13775,Emergency,32,3.04
D13776,Orthopedics,34,3.77
D13777,Pediatrics,22,1.42
D13778,Urology,31,2.05
D13779,Pediatrics,15,4.93
D13780,Oncology,20,1.7
D13781,Emergency,23,1.64
D13782,Pediatrics,31,2.51
D13783,Oncology,2,5
D13784,Urology,13,2.24
D13785,Cardiology,32,1.81
D13786,Gastroenterology,16,1.71
D13787,Neurology,15,4.18
D13788,Urology,25,4.34
D13789,Emergency,12,3.86
D13790,Neurology,28,4.53
D13791,Gastroenterology,12,4.61
D13792,Urology,21,4.17
D13793,Orthopedics,12,3.59
D13794,Urology,16,4.08
D13795,Urology,10,4.84
D13796,Orthopedics,10,3.86
D13797,Urology,2,3.96
D13798,Neurology,27,2.37
D13799,Emergency,30,2.92
D13800,Gastroenterology,33,4.85
D13801,Oncology,16,4.55
D13802,Pediatrics,10,1.6
D13803,Orthopedics,15,1.38
D13804,Cardiology,26,2.82
D13805,Orthopedics,15,1.71
D13806,Gastroenterology,6,4.84
D13807,Pediatrics,17,4.02
D13808,Pediatrics,1,4.36
D13809,Cardiology,23,3.63
D13810,Gastroenterology,34,4.16
D13811,Neurology,35,1.91
D13812,Emergency,25,4.95
D13813,Cardiology,1,3.37
D13814,Emergency,25,2.35
D13815,Neurology,38,4.95
D13816,Pediatrics,16,1.08
D13817,Emergency,12,3.76
D13818,Neurology,10,4.31
D13819,Neurology,27,1.35
D13820,Oncology,39,4.25
D13821,Cardiology,7,3.82
D13822,Oncology,6,2.2
D13823,Orthopedics,11,1.46
D13824,Pediatrics,24,4.1
D13825,Cardiology,40,4.69
D13826,Pediatrics,25,2.72
D13827,Oncology,37,3.29
D13828,Gastroenterology,3,2.6
D13829,Neurology,4,4.05
D13830,Pediatrics,4,4.44
D13831,Cardiology,1,3.44
D13832,Orthopedics,30,2.95
D13833,Cardiology,15,3.83
D13834,Pediatrics,31,2.7
D13835,Cardiology,37,3.47
D13836,Orthopedics,5,3.06
D13837,Neurology,21,1.71
D13838,Gastroenterology,35,2.59
D13839,Neurology,4,2.04
D13840,Cardiology,7,2.11
D13841,Orthopedics,29,1.06
D13842,Orthopedics,36,4.31
D13843,Pediatrics,35,1.11
D13844,Oncology,32,4.07
D13845,Cardiology,11,1.68
D13846,Cardiology,33,4.74
D13847,Cardiology,17,4.22
D13848,Cardiology,12,1.46
D13849,Pediatrics,1,4.21
D13850,Oncology,23,2.43
D13851,Oncology,7,4.66
D13852,Emergency,14,3.03
D13853,Cardiology,40,3.93
D13854,Cardiology,7,1.09
D13855,Emergency,14,1.22
D13856,Oncology,34,1
D13857,Orthopedics,2,1.13
D13858,Orthopedics,20,3.21
D13859,Urology,17,4.14
D13860,Neurology,10,1.21
D13861,Urology,5,2.09
D13862,Oncology,33,2.84
D13863,Gastroenterology,37,3.03
D13864,Cardiology,36,3.66
D13865,Urology,11,1.3
D13866,Pediatrics,21,4.07
D13867,Orthopedics,4,1.59
D13868,Pediatrics,25,2.65
D13869,Emergency,35,2.13
D13870,Oncology,35,2.97
D13871,Oncology,35,1.83
D13872,Urology,39,3.86
D13873,Cardiology,33,3.45
D13874,Oncology,13,3.52
D13875,Urology,4,3.88
D13876,Urology,40,1.85
D13877,Neurology,38,3.27
D13878,Neurology,30,3.23
D13879,Oncology,27,3.63
D13880,Urology,35,4.12
D13881,Emergency,28,4.6
D13882,Emergency,8,1.49
D13883,Neurology,26,1.48
D13884,Oncology,34,1.46
D13885,Orthopedics,29,4.57
D13886,Cardiology,2,2.38
D13887,Gastroenterology,6,3.67
D13888,Orthopedics,16,2.46
D13889,Emergency,7,2.9
D13890,Emergency,11,3.49
D13891,Orthopedics,16,2.69
D13892,Neurology,6,1.36
D13893,Neurology,37,3.31
D13894,Oncology,9,4.54
D13895,Neurology,3,3.06
D13896,Pediatrics,29,4.63
D13897,Gastroenterology,8,3.32
D13898,Orthopedics,40,3.68
D13899,Orthopedics,17,2.26
D13900,Urology,38,2.67
D13901,Emergency,6,3.43
D13902,Orthopedics,11,4.18
D13903,Pediatrics,10,3.87
D13904,Orthopedics,2,3.62
D13905,Cardiology,29,4.8
D13906,Pediatrics,6,1.18
D13907,Oncology,9,4.57
D13908,Cardiology,2,2.71
D13909,Cardiology,4,1.72
D13910,Orthopedics,40,1.43
D13911,Neurology,30,4.92
D13912,Orthopedics,4,4.82
D13913,Pediatrics,1,4.95
D13914,Oncology,11,3.4
D13915,Emergency,7,3.02
D13916,Gastroenterology,18,3.69
D13917,Neurology,8,2.32
D13918,Pediatrics,30,2.25
D13919,Emergency,15,3.23
D13920,Pediatrics,10,4.47
D13921,Neurology,2,4.85
D13922,Emergency,15,2.37
D13923,Neurology,22,4.6
D13924,Pediatrics,34,1.52
D13925,Cardiology,3,1.55
D13926,Gastroenterology,4,4.82
D13927,Urology,25,4.73
D13928,Gastroenterology,5,1.47
D13929,Cardiology,12,4.65
D13930,Neurology,24,2.93
D13931,Gastroenterology,19,4.35
D13932,Neurology,32,2.17
D13933,Neurology,12,3.82
D13934,Emergency,37,4.52
D13935,Oncology,27,4.2
D13936,Neurology,18,2.42
D13937,Gastroenterology,25,1.33
D13938,Gastroenterology,23,4.41
D13939,Gastroenterology,3,2.5
D13940,Cardiology,2,3.39
D13941,Urology,11,1.06
D13942,Neurology,37,4.88
D13943,Orthopedics,30,1.55
D13944,Neurology,13,3.59
D13945,Neurology,40,4.23
D13946,Orthopedics,6,1.44
D13947,Emergency,12,3.28
D13948,Neurology,39,4.85
D13949,Cardiology,8,4.64
D13950,Pediatrics,9,2.09
D13951,Oncology,4,4.85
D13952,Gastroenterology,37,4.86
D13953,Neurology,36,2.82
D13954,Emergency,32,1.63
D13955,Cardiology,12,1.26
D13956,Neurology,18,2.8
D13957,Orthopedics,31,3.15
D13958,Emergency,40,2.04
D13959,Pediatrics,39,1.01
D13960,Urology,29,1.54
D13961,Neurology,40,1.96
D13962,Cardiology,29,2.25
D13963,Emergency,27,2.66
D13964,Orthopedics,11,3.87
D13965,Emergency,33,4.13
D13966,Neurology,39,2.4
D13967,Emergency,18,4.68
D13968,Urology,20,1.7
D13969,Emergency,28,2.29
D13970,Gastroenterology,22,1.57
D13971,Oncology,32,3.69
D13972,Gastroenterology,21,1.87
D13973,Oncology,37,3.72
D13974,Emergency,27,1.16
D13975,Orthopedics,38,1.83
D13976,Orthopedics,26,2.93
D13977,Neurology,23,4.11
D13978,Orthopedics,34,1.63
D13979,Oncology,12,1.85
D13980,Cardiology,11,3.44
D13981,Oncology,36,4.27
D13982,Gastroenterology,32,3.25
D13983,Emergency,39,3.46
D13984,Neurology,37,4.92
D13985,Pediatrics,16,4.18
D13986,Neurology,31,2.84
D13987,Neurology,6,1.35
D13988,Neurology,13,4.53
D13989,Cardiology,36,4.24
D13990,Urology,11,2.71
D13991,Gastroenterology,11,4.21
D13992,Emergency,20,3.91
D13993,Urology,29,1.8
D13994,Pediatrics,19,1.7
D13995,Urology,30,4.13
D13996,Emergency,6,3.24
D13997,Gastroenterology,17,2.78
D13998,Gastroenterology,18,2.48
D13999,Emergency,36,3.88
D14000,Pediatrics,18,2.61
D14001,Emergency,12,1.05
D14002,Pediatrics,3,2.25
D14003,Pediatrics,18,4.62
D14004,Emergency,16,2.48
D14005,Oncology,39,1.16
D14006,Gastroenterology,28,3.92
D14007,Pediatrics,9,2.1
D14008,Emergency,20,1.23
D14009,Orthopedics,18,4.2
D14010,Oncology,25,1.03
D14011,Gastroenterology,21,1.64
D14012,Pediatrics,26,1.79
D14013,Gastroenterology,23,3.75
D14014,Oncology,10,1.45
D14015,Gastroenterology,13,3.82
D14016,Cardiology,37,2.27
D14017,Neurology,12,3.05
D14018,Cardiology,36,4.27
D14019,Oncology,3,2.77
D14020,Pediatrics,14,1.61
D14021,Emergency,35,1.55
D14022,Urology,34,2.54
D14023,Emergency,40,1.62
D14024,Gastroenterology,29,3.52
D14025,Urology,30,3.38
D14026,Urology,7,3.85
D14027,Gastroenterology,2,3.42
D14028,Gastroenterology,18,2.44
D14029,Pediatrics,26,3.39
D14030,Oncology,17,4.46
D14031,Orthopedics,12,1.17
D14032,Emergency,32,1.37
D14033,Oncology,29,4.91
D14034,Cardiology,10,4.07
D14035,Pediatrics,36,1.29
D14036,Pediatrics,2,4.76
D14037,Orthopedics,37,4.77
D14038,Cardiology,14,3.71
D14039,Emergency,10,4.68
D14040,Neurology,40,2.37
D14041,Cardiology,1,2.62
D14042,Emergency,21,2.76
D14043,Urology,5,4.66
D14044,Gastroenterology,9,4.76
D14045,Pediatrics,9,3.38
D14046,Emergency,18,4.62
D14047,Oncology,5,4.43
D14048,Orthopedics,16,2.7
D14049,Gastroenterology,34,3.81
D14050,Oncology,4,1.74
D14051,Gastroenterology,21,1.6
D14052,Pediatrics,37,3.72
D14053,Cardiology,40,2.74
D14054,Neurology,14,3.78
D14055,Cardiology,27,4.18
D14056,Emergency,12,2.68
D14057,Orthopedics,27,4.81
D14058,Cardiology,34,4.66
D14059,Pediatrics,4,1.39
D14060,Orthopedics,2,1.54
D14061,Emergency,32,1.53
D14062,Urology,2,3.11
D14063,Cardiology,22,2.88
D14064,Cardiology,19,4.53
D14065,Neurology,26,2.48
D14066,Emergency,20,2.82
D14067,Oncology,36,4.52
D14068,Cardiology,18,3.21
D14069,Pediatrics,14,3.4
D14070,Cardiology,20,1.47
D14071,Neurology,24,1.13
D14072,Urology,31,4.16
D14073,Neurology,36,2.16
D14074,Cardiology,15,3.01
D14075,Orthopedics,7,4.39
D14076,Oncology,23,2.62
D14077,Gastroenterology,29,4.73
D14078,Cardiology,4,3.7
D14079,Emergency,31,1.24
D14080,Cardiology,18,1.49
D14081,Oncology,31,4.25
D14082,Emergency,36,4.96
D14083,Pediatrics,18,1.67
D14084,Orthopedics,10,3.22
D14085,Emergency,7,2.71
D14086,Neurology,38,2.43
D14087,Urology,28,3.94
D14088,Neurology,18,1.07
D14089,Gastroenterology,31,3.73
D14090,Emergency,9,1.49
D14091,Pediatrics,16,2.58
D14092,Cardiology,40,2.53
D14093,Orthopedics,25,2.28
D14094,Emergency,37,4.81
D14095,Neurology,30,3.61
D14096,Emergency,2,2.58
D14097,Emergency,5,1.47
D14098,Emergency,30,1.41
D14099,Pediatrics,19,3.79
D14100,Orthopedics,14,1.69
D14101,Oncology,27,3.74
D14102,Oncology,30,4.83
D14103,Emergency,14,3.97
D14104,Pediatrics,31,2.82
D14105,Pediatrics,36,3.62
D14106,Gastroenterology,39,1.57
D14107,Emergency,30,2.59
D14108,Neurology,38,3.14
D14109,Neurology,11,2.33
D14110,Urology,17,3.26
D14111,Orthopedics,10,1.66
D14112,Emergency,16,4.15
D14113,Urology,11,2.47
D14114,Neurology,39,1.89
D14115,Neurology,28,2.98
D14116,Emergency,21,3.41
D14117,Urology,28,3.02
D14118,Urology,23,1.26
D14119,Emergency,1,2.33
D14120,Orthopedics,13,1.85
D14121,Gastroenterology,8,4.2
D14122,Urology,19,4.86
D14123,Gastroenterology,24,3.67
D14124,Cardiology,40,4.71
D14125,Orthopedics,37,4.24
D14126,Neurology,25,1.22
D14127,Oncology,26,4.33
D14128,Orthopedics,27,3.83
D14129,Gastroenterology,32,2
D14130,Gastroenterology,3,2.29
D14131,Gastroenterology,9,4.04
D14132,Pediatrics,1,4.72
D14133,Orthopedics,18,1.84
D14134,Urology,3,4.08
D14135,Urology,14,3.95
D14136,Pediatrics,32,4.14
D14137,Urology,4,2.99
D14138,Pediatrics,37,1.15
D14139,Gastroenterology,21,1.54
D14140,Emergency,27,2.69
D14141,Orthopedics,5,3.89
D14142,Cardiology,3,4.32
D14143,Gastroenterology,22,4.17
D14144,Cardiology,20,3.78
D14145,Neurology,2,4.3
D14146,Gastroenterology,1,3.28
D14147,Oncology,23,1.01
D14148,Urology,25,3.53
D14149,Oncology,26,4.46
D14150,Emergency,3,3.01
D14151,Cardiology,31,3.49
D14152,Orthopedics,27,4.49
D14153,Gastroenterology,13,4.57
